common_voice_pt_34567100|Tapes
common_voice_pt_35002311|Pacujá
common_voice_pt_35002312|Carrapateira
common_voice_pt_35002313|Tapera
common_voice_pt_35002314|Boninal
common_voice_pt_35002315|São Pedro das Missões
common_voice_pt_35002316|Mas é um bom dia?
common_voice_pt_35002317|Vale do Paraíso
common_voice_pt_35002318|Vila Valério
common_voice_pt_35002319|Tamandaré
common_voice_pt_35002320|Cristal do Sul
common_voice_pt_35002321|Pariquera-Açu
common_voice_pt_35002322|Meu irmão é um bom jogador de futebol, então ele me ensinou.
common_voice_pt_35132940|Conferência de Genebra
common_voice_pt_35132941|A Burguesia e a Contra-Revolução
common_voice_pt_35132943|Da Carta Rogatória
common_voice_pt_35132944|um erro gravíssimo ao desviar os operários de sua tarefa direta:
common_voice_pt_35132970|Libertação de Prisioneiros
common_voice_pt_35132971|a mercadoria surgiu-nos como algo biface: valor de uso e valor de troca
common_voice_pt_35132972|método subjetivo em sociologia
common_voice_pt_35132973|Sobre o Papel do Trabalho na Transformação do Macaco em Homem
common_voice_pt_35132974|Assaltos
common_voice_pt_35132996|Contribuição Para a História do Cristianismo Primitivo
common_voice_pt_35132998|a viúva da figura da revolução argelina
common_voice_pt_35133000|O Tratado Persa
common_voice_pt_35133002|o caráter de classe de nossa intelectualidade
common_voice_pt_35133004|submeter por completo nossa Pátria aos banqueiros de Wall Street
common_voice_pt_35133040|o julgamento de processos em bloco para aplicação
common_voice_pt_35133041|Como é que tem um iluminação tão boa só com velas e um candelabro?
common_voice_pt_35133043|Nova Gazeta Renana
common_voice_pt_35133045|o estudo concreto de todas as formas do antagonismo econômico existentes
common_voice_pt_35133055|de grupos determinados com programas concretos que coincidem em certos pontos
common_voice_pt_35133056|a desunião favorece os Estados Unidos
common_voice_pt_35133057|Eu não tô com muita fome.
common_voice_pt_35133058|negocistas
common_voice_pt_35133059|A forma de equivalente particular
common_voice_pt_35133085|as próprias instituições constitucionais
common_voice_pt_35133086|com cisões e traições que se repetem, com divisões e subdivisões
common_voice_pt_35133087|acordos bilaterais
common_voice_pt_35133088|o tom é dado por uma caterva de arrivistas e mercenários da burguesia
common_voice_pt_35133089|Princípios Básicos do Comunismo
common_voice_pt_35133105|do julgamento em diligência
common_voice_pt_35133106|imediatamente aos processos em curso, respeitados os atos processuais
common_voice_pt_35133108|o pedido de auxílio direto passivo
common_voice_pt_35133110|vacilam
common_voice_pt_35133135|Guerra de Nervos
common_voice_pt_35133136|interesses pátrios
common_voice_pt_35133137|É admissível a ação meramente declaratória
common_voice_pt_35133138|um papel como vanguarda da classe verdadeiramente vital
common_voice_pt_35133139|Essa lutinha foi meio mais ou menos.
common_voice_pt_35133173|os países de moeda não arbitrável da área da libra esterlina e batem-se
common_voice_pt_35133174|Seqüestros
common_voice_pt_35133175|sobre processos administrativos ou jurisdicionais findos ou em curso;
common_voice_pt_35133177|o papel histórico do operário russo como combatente
common_voice_pt_35133198|a força dos latifundiários feudais se debilitara
common_voice_pt_35133199|perigos reais
common_voice_pt_35133202|às hipóteses de tutela da evidência previstas no
common_voice_pt_35133204|Tá, agora preciso dormir. Tá ficando tarde.
common_voice_pt_35133206|Todos se uniam apenas na hostilidade ao regime da servidão
common_voice_pt_35133209|países Não-Alinhados
common_voice_pt_35133210|Tudo isso para um grandiosíssimo nada.
common_voice_pt_35133212|um governo hostil
common_voice_pt_35133214|acumulação original
common_voice_pt_35133216|A pendência de causa perante a jurisdição
common_voice_pt_35133228|Contra os Impostos
common_voice_pt_35133230|ressalvado às partes o direito de instituir juízo arbitral, na forma da lei.
common_voice_pt_35133231|Batidas
common_voice_pt_35133232|oriundo
common_voice_pt_35133238|Bruno Bauer e o Início do Cristianismo
common_voice_pt_35133239|A degeneração do populismo na teoria mais vulgar do radicalismo pequeno-burguês
common_voice_pt_35133240|O Ministério de Ação
common_voice_pt_35133241|se coloque ao lado do proletariado
common_voice_pt_35133242|Carta ao Parlamento do Trabalho
common_voice_pt_35133268|Sobre a Questão do Livre-Câmbio
common_voice_pt_35133269|persuadidos empiricamente de que apenas neles é possível encontrar elementos revolucionários
common_voice_pt_35133270|econômica e financeira antinacional do governo Dutra
common_voice_pt_35133271|juízes, advogados, defensores públicos e membros do Ministério Público
common_voice_pt_35133272|Manifesto do Partido Comunista
common_voice_pt_35133273|A dialética permite resgatar o que é bom e desprezar aquilo que é ruim
common_voice_pt_35133274|Washington tem dito
common_voice_pt_35133275|da Lei de Segurança do Estado Novo
common_voice_pt_35133276|que um imbecil conduza um homem sábio
common_voice_pt_35133277|Uruguai
common_voice_pt_35133289|o mais importante expoente da guerra de guerrilha no hemisfério ocidental
common_voice_pt_35133290|a juízo de delibação no Brasil.
common_voice_pt_35133291|epub
common_voice_pt_35133292|Reprodução simples
common_voice_pt_35133298|Última atualização
common_voice_pt_35133299|relações de produção
common_voice_pt_35133300|propaganda
common_voice_pt_35133301|estradas de ferro
common_voice_pt_35133302|e tratais de penetrar mais fundo
common_voice_pt_35133303|a cassação dos mandatos dos representantes comunistas
common_voice_pt_35133304|o dogmatismo e o sectarismo
common_voice_pt_35133305|Seus agentes e propagandistas
common_voice_pt_35133306|ameaça estratégica
common_voice_pt_35133307|Agitação Cartista
common_voice_pt_35133328|Surpresa
common_voice_pt_35133329|O Recente Julgamento em Colónia
common_voice_pt_35133330|é extremamente difícil de liquidar se não for liquidada
common_voice_pt_35133331|Kruschov
common_voice_pt_35133332|conheça da mesma causa e das que lhe são conexas
common_voice_pt_35133340|cláusula de eleição de foro exclusivo
common_voice_pt_35133341|no triunfo isolado da revolução em um país
common_voice_pt_35133342|os métodos de sua atividade política
common_voice_pt_35133343|Será que ela lembra de você?
common_voice_pt_35133344|punhado de pessoas nade no supérfluo
common_voice_pt_35133356|lhe servem de advogados ou testa de ferro
common_voice_pt_35133357|leninismo
common_voice_pt_35133358|é contra a classe burguesa que ele deve lutar
common_voice_pt_35133359|no sistema geral de relações capitalistas
common_voice_pt_35133365|encoberto pela história política, pelas particularidades do regime jurídico
common_voice_pt_35133366|hemisfério
common_voice_pt_35133367|Manufaturas e Comércio
common_voice_pt_35133368|lacaios diplomados do clericalismo
common_voice_pt_35133369|livre concorrência
common_voice_pt_35133381|qualquer funcionário ignorante e despótico pode dispor
common_voice_pt_35133382|cenário geográfico
common_voice_pt_35133383|Estas ingênuas pretensões de envergonhar a intelectualidade burguesa por seu caráter burguês
common_voice_pt_35133384|às formas industriais da exploração do trabalho
common_voice_pt_35133390|interpartidário
common_voice_pt_35133391|à mesma posição em que anteriormente se encontrava na lista
common_voice_pt_35133392|cujo abastecimento exige a compra de trigo no estrangeiro
common_voice_pt_35133393|Produtividade do Capital, Trabalho Produtivo e Improdutivo
common_voice_pt_35133394|estão sendo realizadas manobras militares
common_voice_pt_35133395|com indústria secundária sem a correspondente indústria pesada
common_voice_pt_35133396|os grandes países industrializados
common_voice_pt_35133397|quem devia ser notificado em caso de morte
common_voice_pt_35133398|A teoria da compensação no que respeita aos operários desalojados por maquinaria
common_voice_pt_35133399|Coletânea Textos Sobre Educação e Ensino
common_voice_pt_35133400|degenerando num ecletismo lamentável
common_voice_pt_35133401|pela execução de pedidos de cooperação enviados
common_voice_pt_35133402|é absolutamente incapaz de compreender que
common_voice_pt_35133403|defesa nacional
common_voice_pt_35133410|este juízo contra a burguesia e seus ideólogos recorda o caso
common_voice_pt_35133411|o papel revolucionário do proletariado
common_voice_pt_35133412|o forçado congelamento de salários
common_voice_pt_35133413|As guerras camponesas na Alemanha
common_voice_pt_35133414|ou de improcedência liminar do pedido
common_voice_pt_35133423|particularmente o monopólio da terra
common_voice_pt_35133424|espoliado
common_voice_pt_35133425|apreciados pelos nossos chefes militares com honrosas excepções
common_voice_pt_35133426|Os trabalhadores rurais, desde o médio e pequeno sitiante até o arrendatário
common_voice_pt_35133427|pronunciamento judicial
common_voice_pt_35133428|Agrupações heterogêneas sem programa, sem estrutura orgânica definida
common_voice_pt_35133429|A Imprensa e os Déspotas Alemães
common_voice_pt_35133430|a prática de atos que contrariem ou que produzam resultados incompatíveis
common_voice_pt_35133431|A moderna teoria da colonização
common_voice_pt_35133432|não vê de forma aguda as contradições existentes na sociedade americana
common_voice_pt_35133437|com uma mescla de alegria e pena
common_voice_pt_35133439|hipóteses de sigilo previstas na legislação brasileira ou na do Estado requerente;
common_voice_pt_35133440|O todo da forma-valor simples
common_voice_pt_35133441|explicar aos operários a teoria da luta de classes
common_voice_pt_35133442|da socialização do trabalho pelo capitalismo
common_voice_pt_35133443|do alto clero
common_voice_pt_35133444|devem ser abolidos imediata e incondicionalmente
common_voice_pt_35133445|de importação e exportação, concessão de serviços públicos
common_voice_pt_35133446|o réu mantiver vínculos no Brasil, tais como posse
common_voice_pt_35133447|se deixaram tranquilamente levar pelas ilusões reformistas
common_voice_pt_35133448|a composição da sociedade dedicada à produção de valores materiais
common_voice_pt_35133449|relação jurídica;
common_voice_pt_35133450|demagogia
common_voice_pt_35133451|Ministério Público
common_voice_pt_35133452|e de conceder-lhes a autonomia na administração de seus negócios locais
common_voice_pt_35133457|as ingênuas ilusões de um socialismo pequeno-burguês
common_voice_pt_35133458|devolução aos camponeses da terra que lhes havia sido arrebatada
common_voice_pt_35133459|juntem-se a luta agora
common_voice_pt_35133460|sem mercado interno capaz de absorver uma produção industrial em crescimento
common_voice_pt_35133461|Ordem do Gabinete sobre a Imprensa Diária
common_voice_pt_35133468|o trabalho dos social-democratas, orientado contra o populismo
common_voice_pt_35133469|Divisão do trabalho
common_voice_pt_35133470|literalmente esfomeadas nas fazendas, nas usinas, nas minas de ouro
common_voice_pt_35133471|Prestes
common_voice_pt_35133472|pela intervenção deste em seus assuntos e pela corveia
common_voice_pt_35133473|não se podem quebrar com nomeações
common_voice_pt_35133474|bases revolucionárias
common_voice_pt_35133475|Greves e Interrupções de Trabalho
common_voice_pt_35133476|reunião preparatória de Partidos Comunistas, em Moscou
common_voice_pt_35133477|latino-americanos
common_voice_pt_35133478|órgão estrangeiro interessado
common_voice_pt_35133479|Miséria da Filosofia
common_voice_pt_35133480|A forma-valor relativa desdobrada
common_voice_pt_35133482|Divisão do texto nas edições francesa e inglesa
common_voice_pt_35133483|rever desde o início estas teorias, ou rechaçá-las completamente
common_voice_pt_35133484|Por que ela tá descalça?
common_voice_pt_35133485|que afastou das câmaras municipais
common_voice_pt_35133486|os restos da independência nacional
common_voice_pt_35133487|casas de comércio, fazendas de criação e frigoríficos
common_voice_pt_35133503|as matérias-primas e as reposições que temos que fazer
common_voice_pt_35133504|Forma-valor simples, singular ou acidental
common_voice_pt_35133505|como Ministro da Indústria cubano
common_voice_pt_35133507|posfácios
common_voice_pt_35133508|Destino de um Traidor
common_voice_pt_35133509|O Inquérito Operário
common_voice_pt_35133510|a imprensa norte-americana
common_voice_pt_35133511|partidários do materialismo consequente e militante
common_voice_pt_35133512|Revolta da Cerveja na Bavária
common_voice_pt_35133518|Manuscritos Econômico-Filosóficos
common_voice_pt_35133519|comunicar-se-á diretamente com suas congêneres
common_voice_pt_35133520|ao juiz zelar pelo efetivo contraditório
common_voice_pt_35133521|Estes progressos devem acelerar inevitavelmente a extinção das velhas
common_voice_pt_35133522|A Abraham Lincoln, Presidente dos Estados Unidos da América
common_voice_pt_35133529|Sobre a Autoridade
common_voice_pt_35133530|Renuncio formalmente a meus cargos no Partido
common_voice_pt_35133531|As camadas mal pagas da classe operária industrial britânica
common_voice_pt_35133532|atrevimento e a audácia da intervenção imperialista em nossa terra.
common_voice_pt_35133534|a diminuição de tarifas em proveito da indústria norte-americana
common_voice_pt_35133537|Luiz Carlos Prestes
common_voice_pt_35133538|União Soviética e a China
common_voice_pt_35133539|países comunistas
common_voice_pt_35133540|Esse peixe é muito engraçado.
common_voice_pt_35133541|Abraço-te com todo o meu fervor revolucionário.
common_voice_pt_35133542|ao atual governo da Venezuela
common_voice_pt_35133543|a favor das massas trabalhadoras e das forças democráticas
common_voice_pt_35133544|Recensão do Primeiro Volume de
common_voice_pt_35133545|Sobre a solução da abolição do Estado e os “amigos da anarquia” alemães
common_voice_pt_35133546|particularmente no terreno do comércio e do intercâmbio
common_voice_pt_35133551|Deslocamentos do Centro de Gravidade Mundial
common_voice_pt_35133553|contra o absolutismo, o regime de castas e a burocracia
common_voice_pt_35133554|A Origem da Família, da Propriedade Privada e do Estado
common_voice_pt_35133555|Glosas Marginais ao Manual de Economia Política
common_voice_pt_35133556|quando não havia discordâncias, decadências, depressão e apatia
common_voice_pt_35133561|com a disparidade crescente entre os preços em continuado aumento
common_voice_pt_35133562|qualquer outra medida judicial ou extrajudicial não proibida pela lei brasileira.
common_voice_pt_35133563|subversão
common_voice_pt_35133564|houver necessidade de realização de diligência ou de complementação da instrução
common_voice_pt_35133565|pesam de maneira tão opressora sobre o proletariado e sobre o povo em geral
common_voice_pt_35133567|Em geral, os comunistas russos, adeptos do marxismo
common_voice_pt_35133568|doutrina
common_voice_pt_35133569|os partidários do socialismo utópico
common_voice_pt_35133570|o abandono da política de exportar a revolução para a América Latina
common_voice_pt_35133571|dirigência máxima
common_voice_pt_35133993|O processo começa por iniciativa da parte e se desenvolve por impulso oficial
common_voice_pt_35133994|todas as frações dos revolucionários para a conquista da liberdade política
common_voice_pt_35133995|Notícias de São Petersburgo
common_voice_pt_35133996|China
common_voice_pt_35133997|mostrar minuciosamente aos operários que terrível força reacionária representam estas instituições
common_voice_pt_35133998|jurisdição contenciosa
common_voice_pt_35133999|Largo da Carioca
common_voice_pt_35134000|tanto os governantes pessedistas como os udenistas
common_voice_pt_35134001|da guerra de guerrilha
common_voice_pt_35134002|na ausência de designação específica.
common_voice_pt_35134003|concessão de bases militares e à ocupação de nosso solo
common_voice_pt_35134004|respeitadas disposições específicas constantes de tratado.
common_voice_pt_35134005|O dinheiro ou a circulação de mercadorias
common_voice_pt_35134006|com grande desigualdade de desenvolvimento econômico
common_voice_pt_35134008|sucção
common_voice_pt_35134009|liquida a indústria nacional, impede o progresso do país
common_voice_pt_35134010|o direito de propriedade e a inviolabilidade do domicílio
common_voice_pt_35134011|ampla injeção de capital estrangeiro
common_voice_pt_35134012|degeneração das velhas teorias
common_voice_pt_35134013|terreno propício para o capitalismo na Rússia
common_voice_pt_35134014|produção agrária nacional, particularmente daqueles artigos de consumo interno
common_voice_pt_35134015|a atual guerra econômica dispersa dos operários
common_voice_pt_35134016|a reestruturação está consolidada internamente?
common_voice_pt_35134017|Conversão das leis de propriedade da produção de mercadorias em leis da apropriação capitalista
common_voice_pt_35134018|ideólogo
common_voice_pt_35134019|vêm desorientando os socialistas russos
common_voice_pt_35134020|O novo decreto do banco francês
common_voice_pt_35134021|deve dar resposta às exigências do proletariado
common_voice_pt_35134022|beneplácito
common_voice_pt_35134023|Declaração Pública aos Editores da Imprensa Inglesa
common_voice_pt_35134024|anti-ianques
common_voice_pt_35134025|a serviço do imperialismo norte-americano, esfomeia nosso povo
common_voice_pt_35134026|postular em juízo é necessário ter interesse e legitimidade.
common_voice_pt_35134027|o Plano Truman de uniformização de armamento e de sujeição de nossas
common_voice_pt_35134028|planos de expansão
common_voice_pt_35134029|açúcar
common_voice_pt_35134030|vultosos
common_voice_pt_35134031|o agrupamento dos socialistas sob a bandeira do marxismo
common_voice_pt_35134032|expropriação crescente dos produtores
common_voice_pt_35134033|Trabalho Assalariado e Capital
common_voice_pt_35134034|O interesse do autor pode limitar-se à declaração:
common_voice_pt_35134035|Vitória da Contra-Revolução em Viena
common_voice_pt_35134036|de nossos pequenos produtores
common_voice_pt_35134037|reservados
common_voice_pt_35134038|Sobre o Direito de Herança, em Face dos Contratos e da Propriedade Privada
common_voice_pt_35134040|após elaboração de lista própria, respeitar-se-á a ordem
common_voice_pt_35134042|pesos, medidas e moedas
common_voice_pt_35134043|juízes
common_voice_pt_35134044|um novo Congresso do Partido
common_voice_pt_35134045|orientam entretanto sua agitação para os meios operários
common_voice_pt_35134046|Compra e venda da força de trabalho
common_voice_pt_35134048|além dos limites desta solidariedade começava o mais agudo antagonismo
common_voice_pt_35134049|Parece que a Fabi tá se esforçando pra não entender.
common_voice_pt_35134050|Você pode se reconciliar com a galera.
common_voice_pt_35134051|a decisão do Tribunal de Recursos dando novo alento aos dispositivos
common_voice_pt_35134052|como observou um marxista, deixaram de ser enfadonhas.
common_voice_pt_35134053|Objetivos das Ações de Guerrilha Urbana
common_voice_pt_35134054|Valor-de-Uso e Valor-de-Troca ou Valor Propriamente Dito
common_voice_pt_35134055|Prefácio à Primeira Edição do Livro
common_voice_pt_35134056|o jugo do capital sobre o trabalho
common_voice_pt_35134057|Nossos radicais e liberais não só negam este fato
common_voice_pt_35134058|serão aplicadas supletiva e subsidiariamente.
common_voice_pt_35134059|de luta dos proletários e camponeses contra o inimigo comum
common_voice_pt_35134060|incidente de resolução de demandas repetitivas
common_voice_pt_35134061|marxismo
common_voice_pt_35134062|a luta ao lado da democracia radical contra o absolutismo
common_voice_pt_35134063|Do Socialismo Utópico ao Socialismo Cientifico
common_voice_pt_35134064|Ação Política e a Classe Trabalhadora
common_voice_pt_35134065|que força deprimente pesam sobre os trabalhadores
common_voice_pt_35134066|A Nacionalização da Terra
common_voice_pt_35134067|rotação do dinheiro
common_voice_pt_35134068|escravos ideológicos da burguesia
common_voice_pt_35134069|dependentes do capital financeiro e bancário
common_voice_pt_35134070|e isto a par do aumento da riqueza social
common_voice_pt_35134071|Mao Tse-tung
common_voice_pt_35134072|deve estar atento, sobretudo, às realidades particulares
common_voice_pt_35134073|Quando os representantes avançados desta classe assimilarem as ideias do socialismo científico
common_voice_pt_35134075|Ela é progressista, porquanto apresenta reivindicações democráticas
common_voice_pt_35134076|que adianta explicar aos operários a forma do valor, a essência do regime burguês
common_voice_pt_35134077|a política econômico-financeira
common_voice_pt_35134078|aos bravos camaradas
common_voice_pt_35134079|Primeira Seção
common_voice_pt_35134080|Variações de magnitude no preço da força de trabalho e na mais-valia
common_voice_pt_35134081|da autenticidade ou da falsidade de documento.
common_voice_pt_35134082|Capítulo
common_voice_pt_35134083|será um duro golpe contra o imperialismo
common_voice_pt_35134084|entre todos os povos policiados
common_voice_pt_35134085|Se não dais crédito a essas frases ribombantes
common_voice_pt_35134086|homologação e cumprimento de decisão;
common_voice_pt_35134087|união estável, proceder à partilha de bens
common_voice_pt_35134088|confirmação de testamento particular e ao inventário
common_voice_pt_35134089|trabalho fecundo quando acabar com as ilusões
common_voice_pt_35134090|preconceitos teóricos estabelecidos
common_voice_pt_35134091|a vontade de tomar em usufruto exclusivo a teoria de Marx
common_voice_pt_35134092|a teoria dos marxistas sobre a natureza pequeno-burguesa
common_voice_pt_35134093|Diversas formas de existência da sobrepopulação relativa. A lei geral da acumulação capitalista
common_voice_pt_35134094|carregada de diferentes apêndices, artifícios e subterfúgios políticos, jurídicos e consuetudinários
common_voice_pt_35134095|e fundamentadas todas as decisões, sob pena de nulidade
common_voice_pt_35134096|junho
common_voice_pt_35134097|Efetivamente, há ainda muito oportunismo
common_voice_pt_35160489|não induz litispendência e não obsta a que a autoridade judiciária brasileira
common_voice_pt_35160491|Inspecionemos todas as bases, as bases atômicas dos Estados Unidos
common_voice_pt_35160492|devido processo legal
common_voice_pt_35160493|Os operários devem saber que sem derrubar estes pilares da reação
common_voice_pt_35160494|inalienabilidade dos lotes comunais
common_voice_pt_35160495|política externa expansionista, inspirada e guiada pela reação americana
common_voice_pt_35160496|ao Estado requerido para lhe dar andamento.
common_voice_pt_35160497|da inexistência de uma profunda dissenção entre as ideias
common_voice_pt_35160498|Génese do rendeiro capitalista
common_voice_pt_35160499|será recusado se configurar manifesta ofensa à ordem pública.
common_voice_pt_35160500|em divórcio, separação judicial ou dissolução
common_voice_pt_35160501|sem melhorar a situação dos operários e facilitando unicamente as condições de sua luta
common_voice_pt_35160502|Mobilidade e Velocidade
common_voice_pt_35160503|tramitação dos processos, assegurando-se assistência judiciária aos necessitados;
common_voice_pt_35160504|destruindo por sua vez as condições de solidariedade e de organização necessárias
common_voice_pt_35160505|a sentença que cassou o registro eleitoral do
common_voice_pt_35160506|entram em um impasse
common_voice_pt_35160507|A produção da mais-valia relativa
common_voice_pt_35160508|Maquinaria e Trabalho Vivo
common_voice_pt_35160509|que não pertence à classe já formada dos operários fabris
common_voice_pt_35160510|esclarecer a necessidade e a inevitabilidade do antagonismo de classe sob esse sistema
common_voice_pt_35160511|Cara, ela não tem nada a ver com essa história.
common_voice_pt_35160512|aos meios de defesa, aos ônus, aos deveres e à aplicação de sanções processuais
common_voice_pt_35160513|a escassez de terras, os tributos exorbitantes e o jugo da administração
common_voice_pt_35160514|Táticas de Rua
common_voice_pt_35160515|Partido Socialista cubano
common_voice_pt_35160516|com espírito de lucro mútuo
common_voice_pt_35160517|O Papel da Violência na História
common_voice_pt_35160518|numa revolução se vence ou se morre
common_voice_pt_35160524|buscar caminhos que conduzam ao comunismo à margem do capitalismo e do proletariado
common_voice_pt_35160525|Deserções, Desvios, Confiscos, Expropriações de Armas, Munições e Explosivos
common_voice_pt_35160526|nobres latifundiários
common_voice_pt_35160527|compromissos militares
common_voice_pt_35160528|dirigentes ideológicos do proletariado em sua luta efetiva
common_voice_pt_35160540|A Questão Judaica
common_voice_pt_35160542|a burguesia nacional
common_voice_pt_35160544|apontar a saída desta ordem de coisas
common_voice_pt_35160546|assistente litisconsorcial.
common_voice_pt_35160548|da crise caribenha
common_voice_pt_35160550|poderá realizar-se com base em reciprocidade, manifestada por via diplomática.
common_voice_pt_35160551|venal
common_voice_pt_35160552|União Soviética
common_voice_pt_35160553|Plano de reconstrução econômica
common_voice_pt_35160554|Ela mandou a real, agora.
common_voice_pt_35160555|direitos civis gerais
common_voice_pt_35160556|exportar sua Revolução
common_voice_pt_35160557|O juiz não pode decidir, em grau algum de jurisdição, com base em fundamento
common_voice_pt_35160558|colheita de provas e obtenção de informações;
common_voice_pt_35160559|homologação de sentença judicial estrangeira
common_voice_pt_35160560|sendo irrelevantes as modificações do estado de fato ou de direito ocorridas posteriormente
common_voice_pt_35160561|prenúncios claros de um embate de titãs
common_voice_pt_35160562|Camarada Prestes
common_voice_pt_35160563|tendências filosóficas dominantes nos países burgueses
common_voice_pt_35160564|Símon Bolívar
common_voice_pt_35160565|materialismo, único método científico que exige que todo programa seja uma formulação exata
common_voice_pt_35160566|a grandiosidade do trabalho teórico
common_voice_pt_35160567|A lista de processos aptos a julgamento deverá estar permanentemente
common_voice_pt_35160568|expressa ou tacitamente, se submeterem à
common_voice_pt_35160569|imensa acumulação de mercadorias
common_voice_pt_35160570|na fase dos monopólios, do capital financeiro e do imperialismo
common_voice_pt_35160571|escassez de terras
common_voice_pt_35160572|A fórmula universal do capital
common_voice_pt_35160574|substituição processual, o substituído poderá intervir
common_voice_pt_35160575|Moscovo
common_voice_pt_35160576|Eu nem sei o que eles tão fazendo.
common_voice_pt_35160577|e de sócios nas suas empresas mistas ou de investimento conjunto
common_voice_pt_35160578|e estabelecer relações de confiança
common_voice_pt_35160579|A Situação Política na Europa
common_voice_pt_35160580|dirigentes intelectuais
common_voice_pt_35160581|Sei que não é certo pensar isso, mas tudo seria tão mais facil assim.
common_voice_pt_35160582|monopólios norte-americanos
common_voice_pt_35160583|Considera-se autêntico o documento que instruir
common_voice_pt_35160584|interesses da Pátria
common_voice_pt_35160585|o tratado que proíbe os testes nucleares no espaço ultraterrestre
common_voice_pt_35160586|ainda que tenha ocorrido a violação do direito.
common_voice_pt_35160587|os processos criminais, nos órgãos jurisdicionais
common_voice_pt_35160588|A conciliação, a mediação e outros métodos de solução consensual de conflitos
common_voice_pt_35160589|elucidativo
common_voice_pt_35160590|Resolução da Conferência de Varsóvia
common_voice_pt_35160591|Pravda
common_voice_pt_35160592|envio de lucros para fora do país
common_voice_pt_35160593|deve comportar-se de acordo com a boa-fé
common_voice_pt_35160594|Para a Questão da Habitação
common_voice_pt_35160595|obscurantismo
common_voice_pt_35160596|Eu sou o lugar certo.
common_voice_pt_35160597|Índice de Cartas escritas
common_voice_pt_35160598|a reforma agrária
common_voice_pt_35160600|stalinismo
common_voice_pt_35160601|A Guerra Contra a Pérsia
common_voice_pt_35160602|Entesouramento
common_voice_pt_35160603|as formas mais igualitárias da posse comunal da terra
common_voice_pt_35160604|Introdução à "Dialéctica da Natureza"
common_voice_pt_35160605|politiqueiros
common_voice_pt_35160606|Morro da Fumaça
common_voice_pt_35160607|Fabricante e boiardo
common_voice_pt_35160608|procuradores
common_voice_pt_35160609|tratados, convenções ou acordos internacionais
common_voice_pt_35160610|Notícias da Prússia
common_voice_pt_35160611|março
common_voice_pt_35160612|insidiosa
common_voice_pt_35160613|As Táticas de Infantaria Derivadas a Partir de Suas Causas Materiais
common_voice_pt_35160614|acompanhados de tradução para a língua oficial do Estado requerido.
common_voice_pt_35160615|Pedras de Maria da Cruz
common_voice_pt_35160616|a necessidade da exploração e da expropriação
common_voice_pt_35160617|exceto quando implicar a reabertura da instrução ou a conversão
common_voice_pt_35160618|o julgamento de agravo interno;
common_voice_pt_35160619|a extirpação de preconceitos e mitos de todo tipo
common_voice_pt_35160620|sofismas
common_voice_pt_35160621|cousas
common_voice_pt_35160622|Chicote molhado, eu vi regado.
common_voice_pt_35160623|situação de homem oprimido e esmagado
common_voice_pt_35160624|a respeito do qual não se tenha dado às partes oportunidade de
common_voice_pt_35160625|Cruzeiro do Iguaçu
common_voice_pt_35160626|sistema burguês
common_voice_pt_35160627|toda classe da época medieval e do regime da servidão
common_voice_pt_35160628|monolítico
common_voice_pt_35160629|A produção da mais-valia absoluta
common_voice_pt_35160630|e seus aliados domésticos.
common_voice_pt_35160632|defensor intransigente dos interesses dos maiores industriais paulistas
common_voice_pt_35160633|empresas altamente mecanizadas
common_voice_pt_35160634|a espontaneidade na transmissão de informações
common_voice_pt_35160635|em benefício dos latifundiários
common_voice_pt_35160636|conhecido agente do imperialismo ianque
common_voice_pt_35160637|seres encerrados numa colônia de trabalho forçado
common_voice_pt_35160639|o caráter antagônico de nossas relações sociais
common_voice_pt_35160640|a satisfação das necessidades econômicas mais imediatas
common_voice_pt_35160641|Um licor é desenhado antes de um coxo.
common_voice_pt_35160642|Assis Chateaubriand
common_voice_pt_35160643|Capital constante e capital variável
common_voice_pt_35160644|Como Executar a Ação
common_voice_pt_35160645|causa que exija urgência no julgamento
common_voice_pt_35160646|envolvem a agricultura e a indústria extrativa
common_voice_pt_35160647|visando barrar o processo da democratização em que nos encontramos
common_voice_pt_35160648|mês
common_voice_pt_35160649|caráter de classe
common_voice_pt_35160650|Coronel Murta
common_voice_pt_35160651|Montadas
common_voice_pt_35160652|à tutela provisória de urgência
common_voice_pt_35160653|ateísmo militante
common_voice_pt_35160654|México
common_voice_pt_35160655|Vila Flores
common_voice_pt_35160656|Quantas das palavras ela já viu?
common_voice_pt_35160657|acintosamente
common_voice_pt_35160658|Mensagem Inaugural da Associação Internacional dos Trabalhadores
common_voice_pt_35160664|proveniência
common_voice_pt_35160665|Foi bacana, o episódio. Cada personagem doido...
common_voice_pt_35160666|Meu pai normalmente vai ao escritório de ônibus.
common_voice_pt_35160667|O chamado fundo de trabalho
common_voice_pt_35160668|As causas cíveis serão processadas e decididas
common_voice_pt_35160669|Bom dia, coloque-o no pote, que não vai faltar em patches.
common_voice_pt_35160670|Tibau do Sul
common_voice_pt_35160671|problemas materiais
common_voice_pt_35160672|A pedir o acompanhamento dos organismos internacionais
common_voice_pt_35160673|soviético
common_voice_pt_35160674|O Método da Economia Política
common_voice_pt_35160675|apaziguá-lo
common_voice_pt_35160676|o processamento e o julgamento
common_voice_pt_35160677|Rubelita
common_voice_pt_35160678|maneira mais brutal na conexão com o colonialismo
common_voice_pt_35160679|Ela tá pirando legal.
common_voice_pt_35160680|Conhecimento do Terreno
